"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Tolerance Sensitivity"
"12/17/2025 13:30:16:443 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"1","10","10","25","10","Religion","Muslim","Urdu","54","54","6241","5988","120","119","2988","651","1046","95.62703897304239","761","102","92","234.8983648944057"
"1","10","10","25","10","Religion","Muslim","Urdu","55","55","6354","6097","122","121","3035","657","1069","95.58422816216716","777","104","92","237.57223187796407"
"2","10","30","25","10","Religion","Muslim","Urdu","21","21","3730","3595","40","93","1719","466","627","92.9796421308952","535","4","11","104.40658644988662"
"1","10","10","25","10","Religion","Muslim","Urdu","56","56","6447","6184","123","124","3079","665","1089","95.51269927952744","800","102","94","244.3851829531791"
"2","10","30","25","10","Religion","Muslim","Urdu","22","22","3793","3657","40","94","1748","475","634","93.05696256427977","529","5","8","103.43145246721194"
"1","10","10","25","10","Religion","Muslim","Urdu","57","57","6537","6272","124","125","3119","677","1101","95.52231483648075","807","104","97","246.2168460810869"
"1","10","10","25","10","Religion","Muslim","Urdu","58","58","6643","6376","127","124","3162","682","1127","95.54342068892183","818","103","98","248.7512932274985"
"2","10","30","25","10","Religion","Muslim","Urdu","23","23","3847","3710","39","96","1776","483","639","93.09930753491682","539","5","11","106.16402711650859"
"1","10","10","25","10","Religion","Muslim","Urdu","59","59","6766","6495","131","124","3221","693","1155","95.59034709155527","833","109","94","252.84789015444753"
"2","10","30","25","10","Religion","Muslim","Urdu","24","24","3903","3765","39","97","1805","485","654","93.13399979960927","543","5","12","110.23600647784285"
"1","10","10","25","10","Religion","Muslim","Urdu","60","60","6874","6599","134","125","3278","704","1175","95.63150455491376","856","111","96","257.52210388028465"
"2","10","30","25","10","Religion","Muslim","Urdu","25","25","3975","3835","41","97","1843","493","664","93.20177862349811","565","4","11","111.97754501789764"
"1","10","10","25","10","Religion","Muslim","Urdu","61","61","6964","6687","135","126","3330","707","1188","95.66733815920068","867","114","97","262.3793591435408"
"2","10","30","25","10","Religion","Muslim","Urdu","26","26","4026","3885","44","96","1861","499","677","93.22142321702265","562","6","9","112.292291915026"
"1","10","10","25","10","Religion","Muslim","Urdu","62","62","7076","6790","139","130","3383","717","1210","95.62332749111094","883","115","98","267.3270499481617"
"1","10","10","25","10","Religion","Muslim","Urdu","63","63","7187","6896","139","135","3426","726","1235","95.59183508789425","892","119","100","273.42272569796495"
"2","10","30","25","10","Religion","Muslim","Urdu","27","27","4063","3921","45","96","1876","505","684","93.26136993710422","568","6","10","114.01031945037464"
"1","10","10","25","10","Religion","Muslim","Urdu","64","64","7301","7004","140","139","3475","743","1262","95.56581594983292","911","119","104","277.8890607155299"
"2","10","30","25","10","Religion","Muslim","Urdu","28","28","4138","3998","44","95","1903","516","702","93.36814278919373","582","6","10","116.67289899319861"
"1","10","10","25","10","Religion","Muslim","Urdu","65","65","7408","7104","143","143","3529","756","1281","95.48440329525032","928","122","104","284.7804394490788"
"2","10","30","25","10","Religion","Muslim","Urdu","29","29","4194","4055","43","95","1939","515","707","93.57422720994806","592","6","9","118.75327308870709"
"1","10","10","25","10","Religion","Muslim","Urdu","66","66","7506","7200","144","144","3569","768","1292","95.59342163944328","946","126","110","288.86231652553215"
"2","10","30","25","10","Religion","Muslim","Urdu","30","30","4243","4101","43","98","1966","521","719","93.55694032450516","602","5","10","123.66938848016846"
"1","10","10","25","10","Religion","Muslim","Urdu","67","67","7627","7317","146","145","3634","780","1314","95.60866676702105","963","127","108","292.9886566766305"
"1","10","10","25","10","Religion","Muslim","Urdu","68","68","7745","7430","149","147","3662","803","1345","95.61067448341942","975","128","109","297.43388895795584"
"2","10","30","25","10","Religion","Muslim","Urdu","31","31","4297","4154","42","100","1992","522","738","93.54356961066799","611","5","9","125.98216753155072"
"1","10","10","25","10","Religion","Muslim","Urdu","69","69","7880","7556","155","148","3740","816","1351","95.55000255158168","992","131","110","302.7751651863058"
"2","10","30","25","10","Religion","Muslim","Urdu","32","32","4362","4217","42","102","2021","529","755","93.54492346937162","618","5","8","129.43306494344324"
"1","10","10","25","10","Religion","Muslim","Urdu","70","70","7987","7662","156","148","3798","830","1359","95.60076756876158","1006","137","114","308.84901233175515"
"2","10","30","25","10","Religion","Muslim","Urdu","33","33","4444","4293","45","105","2060","533","772","93.52067719902573","628","6","9","128.92907306869517"
"1","10","10","25","10","Religion","Muslim","Urdu","71","71","8112","7780","159","153","3858","839","1389","95.59978047246534","1016","139","111","310.4652685994618"
"2","10","30","25","10","Religion","Muslim","Urdu","34","34","4510","4358","45","105","2086","548","789","93.45517740955106","649","6","12","133.88181306391488"
"1","10","10","25","10","Religion","Muslim","Urdu","72","72","8203","7867","160","156","3902","852","1400","95.60226128134698","1040","140","117","317.36488556271513"
"1","10","10","25","10","Religion","Muslim","Urdu","73","73","8358","8012","162","163","3970","875","1425","95.59376765298576","1054","141","120","321.1667709636877"
"2","10","30","25","10","Religion","Muslim","Urdu","35","35","4565","4415","45","104","2110","563","792","93.56672063909821","654","5","12","135.35366407705766"
"1","10","10","25","10","Religion","Muslim","Urdu","74","74","8454","8103","167","163","4004","888","1447","95.59144043665222","1075","145","126","325.67504555018894"
"2","10","30","25","10","Religion","Muslim","Urdu","36","36","4646","4496","46","103","2135","581","810","93.7019493249738","652","6","8","134.89086607933834"
"1","10","10","25","10","Religion","Muslim","Urdu","75","75","8602","8245","170","166","4084","896","1469","95.60135499665405","1089","150","123","329.772648956823"
"2","10","30","25","10","Religion","Muslim","Urdu","37","37","4708","4558","46","103","2171","591","816","93.77513399115945","665","5","14","142.7465416863004"
"1","10","10","25","10","Religion","Muslim","Urdu","76","76","8711","8343","178","168","4122","909","1494","95.49620251274494","1109","150","128","336.6979601064866"
"2","10","30","25","10","Religion","Muslim","Urdu","38","38","4779","4629","49","100","2209","605","815","93.88468964477042","669","6","10","141.55615066414344"
"1","10","10","25","10","Religion","Muslim","Urdu","77","77","8856","8480","182","172","4182","925","1520","95.4151425782019","1123","158","126","339.1367019571593"
"2","10","30","25","10","Religion","Muslim","Urdu","39","39","4845","4691","49","104","2242","611","831","93.90198517510143","674","7","12","142.79901548515457"
"1","10","10","25","10","Religion","Muslim","Urdu","78","78","8965","8585","185","173","4211","941","1543","95.45115302485159","1140","162","129","343.98597782638825"
"2","10","30","25","10","Religion","Muslim","Urdu","40","40","4933","4778","51","103","2275","618","847","93.863702272851","690","7","12","147.97028716047333"
"1","10","10","25","10","Religion","Muslim","Urdu","79","79","9073","8688","188","175","4244","961","1561","95.44285504260522","1159","166","131","349.8326443958129"
"2","10","30","25","10","Religion","Muslim","Urdu","41","41","5004","4844","54","105","2305","626","853","93.87404186397258","708","7","10","150.11504302964062"
"1","10","10","25","10","Religion","Muslim","Urdu","80","80","9210","8821","190","177","4294","989","1591","95.40477741691184","1180","168","128","356.09342333689744"
"2","10","30","25","10","Religion","Muslim","Urdu","42","42","5094","4934","54","105","2350","637","866","93.91722034359742","715","8","9","152.31198631910289"
"1","10","10","25","10","Religion","Muslim","Urdu","81","81","9350","8958","190","179","4362","1008","1614","95.4188399233886","1199","169","129","361.0815452954376"
"2","10","30","25","10","Religion","Muslim","Urdu","43","43","5170","5010","54","105","2375","653","876","93.97743155676584","732","5","11","159.8565533441117"
"1","10","10","25","10","Religion","Muslim","Urdu","82","82","9488","9089","188","186","4423","1027","1643","95.46493963318139","1219","171","135","366.3576237731815"
"2","10","30","25","10","Religion","Muslim","Urdu","44","44","5251","5090","53","107","2393","674","892","94.02698108925975","735","6","10","162.22480972061237"
"2","10","30","25","10","Religion","Muslim","Urdu","45","45","5361","5196","53","111","2446","684","913","94.04218959999034","742","8","13","166.29838722841313"
"1","10","10","25","10","Religion","Muslim","Urdu","83","83","9631","9226","188","192","4484","1046","1676","95.45350589604872","1243","169","142","372.26886060368173"
"2","10","30","25","10","Religion","Muslim","Urdu","46","46","5427","5265","52","109","2468","694","926","94.13637014421236","757","6","15","167.40730534344354"
"1","10","10","25","10","Religion","Muslim","Urdu","84","84","9755","9342","190","197","4531","1067","1716","95.38739757406324","1265","169","143","378.06247106284405"
"2","10","30","25","10","Religion","Muslim","Urdu","47","47","5496","5330","54","111","2490","706","938","94.16693248725707","768","7","11","173.0777621900222"
"1","10","10","25","10","Religion","Muslim","Urdu","85","85","9914","9495","195","198","4612","1079","1747","95.4013617043881","1288","171","148","382.5472630888006"
"2","10","30","25","10","Religion","Muslim","Urdu","48","48","5580","5413","53","113","2529","726","944","94.20205190816678","773","9","12","172.62506123012926"
"1","10","10","25","10","Religion","Muslim","Urdu","86","86","10082","9660","193","203","4685","1097","1769","95.4582343953425","1313","177","148","389.3237811076376"
"2","10","30","25","10","Religion","Muslim","Urdu","49","49","5671","5498","55","116","2576","740","971","94.14780415036942","784","7","10","178.90648230783788"
"1","10","10","25","10","Religion","Muslim","Urdu","87","87","10235","9807","196","206","4760","1110","1794","95.42560923730389","1329","173","151","394.50190320705286"
"2","10","30","25","10","Religion","Muslim","Urdu","50","50","5733","5559","55","117","2602","743","978","94.11203585954996","814","7","10","184.42740392973445"
"2","10","30","25","10","Religion","Muslim","Urdu","51","51","5798","5622","54","120","2630","753","1004","94.11895780726789","823","8","12","188.60610993783408"
"1","10","10","25","10","Religion","Muslim","Urdu","88","88","10403","9969","197","210","4845","1133","1819","95.46655748474377","1350","177","150","402.7707184416302"
"2","10","30","25","10","Religion","Muslim","Urdu","52","52","5877","5699","57","119","2662","768","1013","94.14919914524772","841","7","14","188.60724485145715"
"1","10","10","25","10","Religion","Muslim","Urdu","89","89","10567","10128","199","213","4932","1162","1837","95.51107098203374","1367","181","155","409.56540413154767"
"2","10","30","25","10","Religion","Muslim","Urdu","53","53","5947","5764","60","121","2682","772","1028","94.0798402214883","846","6","13","192.56358766422497"
"1","10","10","25","10","Religion","Muslim","Urdu","90","90","10730","10283","202","218","5000","1171","1868","95.51494238868531","1382","181","157","413.9358393337877"
"2","10","30","25","10","Religion","Muslim","Urdu","54","54","6039","5852","61","124","2720","791","1047","94.0172764872282","866","8","10","196.5571729096199"
"1","10","10","25","10","Religion","Muslim","Urdu","91","91","10851","10404","203","217","5062","1183","1881","95.52131232421439","1399","185","159","421.0358219898787"
"2","10","30","25","10","Religion","Muslim","Urdu","55","55","6148","5955","64","127","2762","816","1056","93.98567212774701","878","6","12","198.96888612810503"
"1","10","10","25","10","Religion","Muslim","Urdu","92","92","11029","10579","207","216","5137","1199","1909","95.54355912530963","1417","184","157","426.8911212613407"
"2","10","30","25","10","Religion","Muslim","Urdu","56","56","6220","6025","65","128","2796","830","1067","93.91605525490577","889","8","14","205.1186807743614"
"1","10","10","25","10","Religion","Muslim","Urdu","93","93","11214","10763","207","217","5217","1220","1943","95.64687720198174","1439","190","160","433.7369500400737"
"2","10","30","25","10","Religion","Muslim","Urdu","57","57","6312","6115","66","129","2841","837","1081","93.94528195167227","900","7","12","207.29837042071742"
"2","10","30","25","10","Religion","Muslim","Urdu","58","58","6415","6215","69","129","2892","849","1103","93.96208346668182","906","8","13","210.65472167674255"
"1","10","10","25","10","Religion","Muslim","Urdu","94","94","11363","10904","210","221","5282","1241","1973","95.63602315827895","1453","188","158","442.6526988110497"
"2","10","30","25","10","Religion","Muslim","Urdu","59","59","6521","6322","68","129","2938","862","1124","94.0440200912974","930","7","10","215.62634862702242"
"1","10","10","25","10","Religion","Muslim","Urdu","95","95","11547","11084","210","223","5375","1267","2012","95.65825957189249","1477","193","166","448.1626287744945"
"2","10","30","25","10","Religion","Muslim","Urdu","60","60","6634","6429","70","133","2988","879","1151","94.07039725215425","956","6","11","219.02371764009686"
"1","10","10","25","10","Religion","Muslim","Urdu","96","96","11736","11267","212","226","5466","1287","2046","95.57789247050287","1501","189","160","454.2423880031712"
"2","10","30","25","10","Religion","Muslim","Urdu","61","61","6751","6540","72","137","3046","893","1165","93.97444494874175","973","9","12","224.8840805241728"
"1","10","10","25","10","Religion","Muslim","Urdu","97","97","11926","11443","217","234","5560","1307","2078","95.58803511393016","1532","194","165","463.8378266288388"
"2","10","30","25","10","Religion","Muslim","Urdu","62","62","6864","6647","72","143","3100","906","1184","93.9252142182983","988","8","13","228.1742038887425"
"1","10","10","25","10","Religion","Muslim","Urdu","98","98","12090","11592","221","242","5628","1320","2118","95.521562264291","1548","198","174","467.8228953759195"
"2","10","30","25","10","Religion","Muslim","Urdu","63","63","6967","6746","73","146","3128","922","1211","93.88337858818832","1003","8","16","233.5883760202222"
"2","10","30","25","10","Religion","Muslim","Urdu","64","64","7063","6845","70","146","3181","935","1233","93.97847554000451","1023","9","13","235.0815808888536"
"1","10","10","25","10","Religion","Muslim","Urdu","99","99","12255","11746","228","243","5698","1354","2139","95.40436581830478","1570","199","177","472.92170723754117"
"2","10","30","25","10","Religion","Muslim","Urdu","65","65","7167","6952","68","145","3228","942","1250","94.1134274972607","1046","9","14","241.89986720052985"
"1","10","10","25","10","Religion","Muslim","Urdu","100","100","12428","11905","233","250","5779","1365","2177","95.36112177648558","1583","203","182","477.7407923821059"
"2","10","30","25","10","Religion","Muslim","Urdu","66","66","7284","7068","68","146","3270","962","1280","94.20784446416299","1059","7","12","246.97469506004052"
"2","10","30","25","10","Religion","Muslim","Urdu","67","67","7399","7176","70","151","3304","983","1297","94.21688407517259","1082","7","14","250.46474449569567"
"2","10","30","25","10","Religion","Muslim","Urdu","68","68","7500","7272","73","153","3355","996","1307","94.14916930089922","1092","8","14","254.43489222016103"
"2","10","30","25","10","Religion","Muslim","Urdu","69","69","7638","7408","73","155","3430","1012","1324","94.14136727885518","1105","9","13","258.12468487375725"
"2","10","30","25","10","Religion","Muslim","Urdu","70","70","7749","7519","76","152","3471","1039","1338","94.21630589238859","1119","7","15","262.62274441173776"
"3","30","10","25","10","Religion","Muslim","Urdu","0","0","2841","2733","32","70","1411","304","484","92.72411246448623","366","8","14","119.58371421678771"
"2","10","30","25","10","Religion","Muslim","Urdu","71","71","7852","7618","79","153","3517","1048","1365","94.24819444847998","1126","8","14","265.2262630062025"
"3","30","10","25","10","Religion","Muslim","Urdu","1","1","2885","2774","32","73","1433","308","491","92.6929967573932","366","8","14","119.5837142167877"
"3","30","10","25","10","Religion","Muslim","Urdu","2","2","2945","2831","32","76","1468","311","501","92.67157909755855","376","4","7","108.1648010353023"
"2","10","30","25","10","Religion","Muslim","Urdu","72","72","7976","7740","80","154","3565","1061","1384","94.23698139027304","1155","10","13","272.2867337192121"
"3","30","10","25","10","Religion","Muslim","Urdu","3","3","2990","2872","34","77","1492","316","513","92.60104864644254","380","5","7","110.40094782675442"
"2","10","30","25","10","Religion","Muslim","Urdu","73","73","8107","7870","82","153","3626","1079","1409","94.31592890383865","1180","8","15","275.1138564066305"
"3","30","10","25","10","Religion","Muslim","Urdu","4","4","3020","2902","34","77","1509","324","516","92.5429395675063","386","4","11","112.9476135148185"
"3","30","10","25","10","Religion","Muslim","Urdu","5","5","3065","2944","35","79","1531","327","524","92.50206858991092","391","4","8","115.44825963865705"
