"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Demographic Rates"
"12/17/2025 13:32:20:219 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"2","5","15","20","8","Religion","Muslim","Urdu","53","53","5200","4994","44","153","2603","555","779","93.34278411892855","671","34","41","188.103190981749"
"1","5","5","20","8","Religion","Muslim","Urdu","52","52","5521","5320","44","144","2628","627","1006","93.93096051373934","699","23","47","217.44803300748328"
"2","5","15","20","8","Religion","Muslim","Urdu","54","54","5274","5063","45","157","2640","569","788","93.3481671476442","679","37","41","190.0293750942017"
"1","5","5","20","8","Religion","Muslim","Urdu","53","53","5574","5375","42","144","2651","643","1006","93.96317616873594","708","23","48","219.66868248651076"
"2","5","15","20","8","Religion","Muslim","Urdu","55","55","5325","5113","45","158","2665","569","794","93.35213239229047","689","37","43","192.75433923550892"
"1","5","5","20","8","Religion","Muslim","Urdu","54","54","5624","5421","44","146","2674","647","1015","93.98070671444373","719","21","47","223.2176463612562"
"2","5","15","20","8","Religion","Muslim","Urdu","56","56","5386","5172","43","161","2684","581","807","93.32373668408262","692","36","46","194.86714931550915"
"1","5","5","20","8","Religion","Muslim","Urdu","55","55","5680","5477","44","147","2701","653","1021","93.99996412112941","716","22","48","224.2423117502247"
"2","5","15","20","8","Religion","Muslim","Urdu","57","57","5463","5245","43","165","2724","592","819","93.28243057928087","701","34","48","198.43699713023616"
"2","5","15","20","8","Religion","Muslim","Urdu","58","58","5553","5334","42","166","2769","599","831","93.3325508976819","706","34","49","199.95448011396758"
"2","5","15","20","8","Religion","Muslim","Urdu","59","59","5638","5416","43","167","2819","605","836","93.31927796652722","721","33","50","204.74151566131897"
"1","5","5","20","8","Religion","Muslim","Urdu","56","56","5736","5534","43","147","2730","657","1034","94.04167447260036","721","22","50","227.3828650542108"
"2","5","15","20","8","Religion","Muslim","Urdu","60","60","5707","5482","43","170","2844","612","854","93.30982377243268","734","33","50","208.10448607414259"
"1","5","5","20","8","Religion","Muslim","Urdu","57","57","5824","5619","44","150","2785","667","1039","94.06223255445067","721","21","50","229.195010724877"
"2","5","15","20","8","Religion","Muslim","Urdu","61","61","5765","5538","43","172","2881","610","860","93.30175466753681","742","33","52","211.64939716489022"
"1","5","5","20","8","Religion","Muslim","Urdu","58","58","5868","5660","44","153","2816","665","1049","94.06176878854124","734","21","51","233.180370029984"
"2","5","15","20","8","Religion","Muslim","Urdu","62","62","5816","5583","44","177","2898","611","870","93.27005688118366","747","34","51","213.73535190415922"
"1","5","5","20","8","Religion","Muslim","Urdu","59","59","5943","5733","44","155","2847","674","1066","94.06969898661177","739","22","52","236.03863093595007"
"2","5","15","20","8","Religion","Muslim","Urdu","63","63","5903","5664","46","181","2949","618","885","93.19470259657457","753","35","51","214.70112986055452"
"1","5","5","20","8","Religion","Muslim","Urdu","60","60","6000","5784","47","158","2870","682","1077","94.01907833606559","750","21","52","239.5275374074359"
"2","5","15","20","8","Religion","Muslim","Urdu","64","64","5995","5750","49","184","2996","633","900","93.14322856889102","762","37","50","217.599057151456"
"1","5","5","20","8","Religion","Muslim","Urdu","61","61","6053","5837","48","157","2889","692","1096","94.01306539650108","754","23","53","241.0852912291806"
"2","5","15","20","8","Religion","Muslim","Urdu","65","65","6053","5805","50","186","3021","640","907","93.17165170801299","778","41","49","221.243403948795"
"1","5","5","20","8","Religion","Muslim","Urdu","62","62","6136","5920","48","158","2937","700","1104","94.1129772950809","766","26","53","243.5516144247229"
"2","5","15","20","8","Religion","Muslim","Urdu","66","66","6122","5871","50","189","3060","643","914","93.11905839612153","794","41","47","224.2883662650162"
"1","5","5","20","8","Religion","Muslim","Urdu","63","63","6206","5988","48","160","2960","704","1121","94.09957575059062","777","23","53","246.1883279330227"
"2","5","15","20","8","Religion","Muslim","Urdu","67","67","6203","5950","50","191","3095","656","929","93.13927137573576","809","40","49","227.4200283199476"
"1","5","5","20","8","Religion","Muslim","Urdu","64","64","6304","6083","50","161","3006","718","1143","94.13971858868241","781","23","55","248.41463335592667"
"2","5","15","20","8","Religion","Muslim","Urdu","68","68","6297","6041","52","193","3149","660","948","93.18499209897115","820","40","50","230.914330660908"
"1","5","5","20","8","Religion","Muslim","Urdu","65","65","6368","6144","50","164","3035","720","1154","94.1514774580252","804","24","55","253.80945969381312"
"2","5","15","20","8","Religion","Muslim","Urdu","69","69","6398","6137","53","197","3198","674","968","93.15300615977968","834","42","52","234.4142261292277"
"1","5","5","20","8","Religion","Muslim","Urdu","66","66","6467","6242","50","165","3087","730","1178","94.21802998877055","812","24","55","256.3828836067961"
"2","5","15","20","8","Religion","Muslim","Urdu","70","70","6457","6197","53","196","3233","669","975","93.18805400467284","847","44","54","237.6508121103987"
"1","5","5","20","8","Religion","Muslim","Urdu","67","67","6536","6310","50","166","3109","739","1198","94.2638648674415","831","24","55","261.953701691855"
"2","5","15","20","8","Religion","Muslim","Urdu","71","71","6519","6258","53","197","3261","676","993","93.23950272885702","854","43","53","239.12507324326066"
"1","5","5","20","8","Religion","Muslim","Urdu","68","68","6614","6385","51","168","3143","747","1212","94.26463947149503","843","24","55","265.88517842214367"
"2","5","15","20","8","Religion","Muslim","Urdu","72","72","6582","6325","53","193","3297","679","1001","93.35962933870256","860","43","53","240.8964263647224"
"1","5","5","20","8","Religion","Muslim","Urdu","69","69","6712","6481","51","170","3197","764","1223","94.28461331927652","854","26","54","269.6811237308463"
"2","5","15","20","8","Religion","Muslim","Urdu","73","73","6645","6385","53","196","3326","685","1005","93.44722797393248","871","45","53","244.11063065749514"
"1","5","5","20","8","Religion","Muslim","Urdu","70","70","6782","6546","52","174","3230","774","1233","94.27455265079637","864","26","53","274.304015301376"
"2","5","15","20","8","Religion","Muslim","Urdu","74","74","6735","6466","53","205","3375","694","1020","93.34464182784909","882","44","55","247.52664740684102"
"1","5","5","20","8","Religion","Muslim","Urdu","71","71","6862","6622","55","175","3275","774","1247","94.21196188478939","876","27","54","277.1728183675846"
